Tenure Months,Total Charges,Senior Citizen,Partner,Dependents,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Internet Service,Churn Value
69,4065,1,1,0,1,1,1,1,1,1,1,0,3,0,0
13,1332,0,1,0,0,0,0,1,1,0,2,1,3,0,0
52,3786,0,0,0,0,1,1,0,1,1,1,0,1,1,0
33,3000,0,0,1,1,1,1,1,1,1,1,1,3,1,0
67,3710,0,1,0,1,1,0,1,1,1,1,1,2,0,0
26,1983,1,1,0,1,0,0,0,0,0,2,1,2,1,1
60,4116,0,1,1,0,1,1,1,1,1,0,0,3,1,0
55,3704,0,1,0,0,1,0,0,1,1,0,1,1,1,1
40,2332,0,0,0,0,0,1,0,0,1,0,0,0,0,0
13,1453,0,1,0,0,0,0,0,0,1,2,1,1,1,1
1,312,0,0,0,0,0,0,0,0,0,2,0,1,1,1
70,4480,0,1,0,0,1,1,1,1,1,1,0,1,1,0
71,4565,0,1,0,1,1,1,1,1,1,1,1,3,1,0
16,1285,0,1,1,1,0,0,1,0,0,2,1,3,0,0
71,3810,0,1,0,0,1,0,1,1,1,1,1,1,0,0
28,2377,0,1,1,0,0,0,0,1,1,2,1,3,1,0
46,3215,0,1,1,1,1,1,0,0,1,0,1,1,1,0
0,168,1,0,0,0,0,0,0,0,0,2,1,1,1,1
32,2355,0,0,0,0,1,1,0,0,0,2,1,3,1,0
0,25,0,0,0,0,0,0,0,0,0,2,1,0,0,1
14,1639,1,1,0,1,0,1,0,1,0,2,1,1,1,0
38,2671,0,0,0,0,1,0,0,0,0,0,0,3,1,0
17,1735,0,0,0,0,1,0,0,1,0,2,1,3,1,1
1,307,0,0,0,0,0,0,0,0,0,2,1,1,1,1
37,3032,1,1,0,0,1,1,0,1,1,2,1,1,1,0
13,1433,0,0,0,0,0,1,0,0,0,2,0,1,1,0
2,475,1,0,0,0,1,0,0,0,0,2,1,1,1,1
64,4071,0,1,0,1,1,1,0,1,0,1,1,1,1,0
3,440,0,0,1,1,0,0,0,0,0,2,1,1,0,1
11,1310,0,0,0,0,0,0,0,0,1,2,0,2,1,1
14,1465,0,1,1,0,1,1,1,1,1,2,0,2,0,0
47,2553,0,1,0,1,0,0,1,0,0,0,1,2,0,0
25,1753,0,0,0,0,1,1,0,0,0,0,1,0,0,0
33,2059,0,0,0,1,1,0,0,0,1,0,0,1,0,0
52,2943,0,1,1,1,0,0,1,0,1,2,0,1,0,0
36,2746,0,0,0,1,1,1,0,0,0,2,0,2,1,0
64,3212,0,1,0,1,1,1,0,0,1,1,0,2,0,0
0,139,1,0,0,0,0,0,0,0,0,2,1,1,1,1
11,1197,1,0,0,0,0,0,0,0,0,2,1,3,1,0
16,1454,0,0,0,0,0,0,0,0,0,2,1,1,1,1
37,2679,0,0,0,1,1,1,0,0,0,2,1,3,1,1
17,1663,1,1,0,0,0,0,0,0,1,2,0,1,1,1
17,1701,0,1,0,0,0,1,1,0,0,2,0,1,1,0
26,1896,0,0,0,0,0,0,0,0,0,2,1,0,1,0
4,839,0,0,0,0,0,0,0,1,0,2,1,1,1,1
50,3282,0,1,1,1,1,0,0,0,1,2,1,1,1,0
70,3485,0,1,0,1,0,1,1,0,1,1,1,3,0,0
11,1436,0,0,0,1,0,0,1,1,1,2,1,2,1,1
46,3553,0,0,0,0,1,1,0,1,1,2,1,1,1,1
53,3468,1,0,0,0,1,0,0,0,1,2,1,1,1,0
71,4470,0,1,1,1,1,1,1,1,0,1,0,3,1,0
71,3505,0,1,0,1,1,1,1,0,0,1,0,3,0,0
70,4285,0,1,0,0,0,1,0,1,1,0,1,3,1,0
40,2558,0,1,0,0,0,1,0,1,1,0,1,1,0,1
0,156,1,1,0,0,0,0,0,0,0,2,0,1,1,0
66,3422,0,1,1,1,1,0,1,1,0,1,0,3,0,0
3,753,0,0,0,0,0,1,1,1,1,2,1,2,1,1
13,1600,0,0,0,0,0,0,0,1,1,2,1,1,1,0
61,2953,0,0,0,1,0,0,1,0,1,1,1,0,0,0
61,3492,0,1,0,1,0,1,1,1,1,1,0,0,0,0
33,2797,0,1,0,0,0,1,0,1,1,2,1,1,1,1
1,304,0,0,0,0,1,0,0,0,0,2,1,0,0,1
0,40,0,0,0,1,0,0,0,0,0,2,1,2,0,0
67,3726,0,1,1,0,1,1,1,1,1,1,0,2,0,0
