decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,sex,tier,race,pass_bar
9,9,107,20,410,480,0,4,0,3,1,1
4,3,54,20,266,235,0,3,0,1,1,1
7,6,86,19,340,329,0,2,1,3,1,1
7,6,105,18,344,326,0,3,0,3,1,1
2,1,101,18,210,162,0,3,0,4,1,1
0,0,36,7,104,158,0,3,1,2,1,0
3,3,74,18,245,254,0,3,0,2,1,0
1,2,78,17,185,220,0,3,1,1,1,0
4,4,98,9,272,289,0,2,0,3,1,0
7,8,78,14,350,386,0,2,0,3,1,1
2,0,50,9,218,143,0,2,0,2,1,1
1,2,68,17,201,236,0,3,0,4,1,1
8,8,68,9,381,401,0,2,1,0,1,1
6,7,30,13,333,379,0,2,0,0,0,1
3,2,86,13,254,220,0,2,0,2,1,1
8,8,101,24,385,380,0,2,0,5,1,1
2,3,98,13,208,247,0,3,0,5,0,1
7,6,58,18,335,345,0,3,0,2,1,1
7,6,98,22,344,332,0,3,1,3,1,1
0,1,26,12,97,179,0,3,1,2,1,1
9,8,113,22,471,390,0,3,0,4,1,1
2,1,82,14,224,187,0,3,0,2,1,0
2,1,82,16,210,202,0,2,0,3,0,1
2,1,82,20,213,180,0,0,1,2,1,1
7,4,109,15,341,282,0,2,1,3,1,1
9,9,78,11,517,587,0,2,1,0,1,1
2,0,82,19,217,129,0,1,1,4,1,1
8,7,111,23,404,379,0,3,0,3,1,1
8,7,94,16,379,365,1,2,1,4,1,1
3,4,94,12,238,285,0,2,0,2,1,1
9,9,94,25,555,576,0,2,0,4,1,1
5,6,90,15,291,345,0,2,0,2,1,1
9,9,66,25,445,425,0,2,1,3,1,1
6,3,94,20,311,243,0,3,1,2,1,1
1,0,54,10,169,146,0,2,1,4,0,1
8,7,113,20,379,368,0,3,1,4,1,1
0,1,46,10,137,184,0,2,0,2,0,1
1,0,62,11,173,143,0,3,1,3,0,1
9,9,109,22,428,461,0,2,0,3,1,1
3,4,82,24,232,288,0,3,1,5,1,1
1,1,74,10,163,199,0,3,1,3,0,0
5,1,78,23,304,194,0,2,1,3,1,1
2,3,78,16,210,264,0,2,1,4,0,1
0,0,82,24,127,74,0,3,1,5,1,1
1,1,103,18,171,179,0,2,1,3,1,1
9,9,58,22,443,444,0,2,0,3,1,1
7,9,38,22,337,464,0,2,0,4,1,1
3,1,64,21,240,188,0,2,0,4,1,1
7,7,98,17,359,364,0,4,1,3,1,1
2,4,98,20,213,280,0,3,0,2,1,1
6,6,101,22,321,345,0,2,0,3,1,1
8,6,74,20,373,337,0,2,0,2,1,1
6,5,94,19,322,314,0,3,1,3,1,1
3,3,90,15,232,265,0,4,0,4,0,1
4,4,101,17,261,273,0,4,1,5,1,0
6,5,62,18,332,300,0,3,0,1,0,1
4,3,103,21,274,264,0,2,0,5,1,1
5,7,74,17,293,355,0,3,0,2,1,1
4,4,86,15,266,269,0,2,1,2,1,1
7,3,103,8,358,262,0,2,1,2,1,1
6,5,82,18,322,315,0,3,1,2,1,1
8,7,103,15,382,354,0,2,1,2,1,1
9,9,98,20,411,433,1,1,1,2,1,1
7,8,54,13,358,429,0,1,0,0,0,1
3,3,82,18,238,257,0,3,1,2,1,1
8,8,82,14,368,412,0,3,1,2,1,1
3,3,86,12,244,262,0,3,0,2,1,1
5,4,78,16,308,291,0,4,0,3,1,1
3,2,101,19,239,209,0,2,0,3,1,0
5,4,103,14,287,274,0,3,1,2,1,1
1,2,72,19,186,235,0,3,0,5,1,1
1,1,66,15,175,159,0,2,0,3,0,0
5,4,82,22,289,279,0,3,0,1,1,1
1,2,76,18,182,212,0,3,0,5,1,1
0,1,66,15,151,190,0,3,0,1,1,1
8,8,78,18,368,418,0,3,1,1,1,1
8,7,74,14,408,356,0,1,0,3,1,1
4,2,46,16,282,224,0,1,1,0,0,1
6,8,94,19,313,415,1,2,1,4,1,1
3,1,98,20,233,191,0,3,1,4,1,1
1,1,66,24,189,178,0,3,1,1,1,1
2,1,103,18,213,182,0,2,0,3,1,1
7,9,78,14,357,445,1,2,1,4,1,1
2,4,74,14,241,284,0,1,0,0,0,1
1,0,90,17,179,120,0,3,0,3,1,1
1,1,103,19,193,199,0,2,1,3,1,1
3,3,90,21,237,246,0,3,0,3,1,1
2,2,86,17,212,233,0,2,0,3,1,1
4,6,101,23,279,325,0,2,1,5,1,1
8,7,66,16,381,356,0,2,0,2,1,1
0,0,54,13,164,143,0,3,0,2,1,0
6,8,98,19,332,393,0,3,1,3,1,1
7,4,86,12,338,265,0,2,1,2,1,1
3,3,107,19,246,257,0,2,0,5,0,1
8,8,101,19,366,386,0,3,1,1,1,1
5,6,103,23,312,327,0,3,0,5,1,1
6,7,102,17,320,365,0,2,0,4,1,1
0,1,101,14,164,198,0,3,1,2,1,1
3,6,98,23,236,338,0,2,1,4,1,1
9,2,51,16,431,210,0,1,0,4,1,1
5,1,90,13,297,186,0,4,1,2,1,1
3,3,98,17,259,253,0,3,0,3,1,1
5,4,38,11,303,283,0,2,1,3,1,1
4,2,38,12,275,218,0,1,1,3,1,1
6,4,50,20,325,288,0,1,0,0,0,0
1,1,70,20,193,173,0,3,0,1,1,0
4,4,82,20,286,291,0,2,0,3,1,1
7,7,113,19,354,366,0,2,0,2,1,1
4,2,76,15,274,228,0,1,1,2,1,1
4,7,101,17,275,357,0,4,1,2,1,1
4,4,74,13,278,279,0,2,0,2,1,1
6,6,34,17,318,324,0,2,0,0,1,1
8,8,80,23,404,392,0,3,1,2,1,1
5,4,70,5,307,287,0,2,1,2,1,1
4,3,50,8,261,242,0,2,0,2,0,1
5,6,62,20,307,326,0,1,0,2,1,1
6,6,101,23,325,327,0,2,0,3,1,1
5,2,80,16,291,227,0,4,0,4,1,1
2,3,62,22,223,259,0,1,0,1,1,0
6,5,107,6,328,301,0,3,0,2,1,1
6,6,82,21,322,336,0,2,0,2,1,1
3,4,82,16,252,287,0,4,1,3,1,1
0,0,107,22,151,150,0,2,1,3,1,1
1,0,107,12,174,107,0,1,1,4,1,1
6,4,66,15,314,282,0,3,1,2,1,1
5,5,103,20,286,300,0,2,1,3,1,1
1,2,70,13,186,210,0,2,1,1,1,0
3,8,62,16,258,399,0,3,1,0,0,1
6,3,74,21,322,242,1,3,1,3,1,1
9,7,94,18,411,356,0,3,1,3,1,1
5,4,70,22,304,278,0,2,0,3,1,1
6,3,103,22,317,255,0,2,1,3,1,1
6,6,101,15,311,327,0,3,1,2,1,1
4,6,70,21,277,332,0,2,1,3,1,1
1,0,74,18,185,106,1,2,0,3,1,0
1,3,105,10,196,256,1,3,1,2,1,1
8,8,86,22,385,390,0,2,1,2,1,1
9,8,98,12,426,406,0,2,1,2,1,1
7,8,78,15,353,386,0,3,0,2,1,1
9,9,90,21,416,452,0,1,0,2,1,1
6,5,74,18,316,316,0,3,0,2,1,1
5,7,103,23,303,354,0,3,1,3,1,1
6,8,112,10,321,400,0,3,0,3,1,1
1,0,98,16,174,114,0,3,0,4,0,0
4,4,74,13,279,285,0,3,0,3,1,1
3,2,74,20,257,235,0,3,0,2,1,1
7,8,90,15,347,381,0,3,1,2,1,1
2,2,70,16,225,216,1,2,1,2,1,1
6,7,86,14,316,365,0,3,1,2,1,1
5,6,86,21,296,322,0,3,0,2,1,1
2,3,74,17,223,248,0,2,1,1,1,1
5,5,94,20,300,303,0,3,1,4,0,1
7,7,98,22,357,356,0,3,1,3,1,1
9,9,103,24,495,492,0,3,0,4,1,1
2,2,42,16,219,223,0,3,0,1,1,0
0,1,98,15,95,165,0,3,1,3,1,1
4,2,70,20,269,232,0,3,0,4,1,0
0,0,74,15,31,142,0,3,1,1,1,1
2,4,86,9,226,265,1,3,1,1,1,1
0,2,103,18,118,210,0,3,1,2,1,1
1,1,113,17,193,183,0,2,1,5,0,1
2,2,40,10,237,217,0,3,1,0,1,1
4,3,98,24,261,255,0,2,0,3,1,1
7,9,98,25,343,449,0,3,0,3,1,1
7,6,80,19,362,329,0,3,1,2,1,1
9,8,70,23,435,416,0,1,1,2,1,1
5,4,74,22,310,291,0,3,0,3,1,1
8,6,70,19,378,333,0,3,0,2,1,1
4,4,107,20,262,289,0,2,0,3,1,1
1,2,86,9,167,219,0,2,0,2,1,1
7,6,90,18,338,332,0,3,0,2,1,1
5,6,101,19,289,332,0,3,0,3,1,1
6,7,78,22,322,351,0,3,1,3,1,1
6,7,98,23,332,357,0,3,0,5,1,1
9,9,98,12,426,448,1,2,1,2,1,1
8,8,86,21,398,414,0,2,1,3,1,1
6,3,82,11,316,253,0,3,1,2,1,1
9,9,107,18,434,464,0,4,1,3,1,1
7,9,86,18,359,444,0,2,1,4,1,1
8,9,86,19,379,496,1,3,0,2,1,1
1,0,67,10,198,117,0,3,0,2,1,1
0,0,54,18,118,150,0,1,1,3,0,1
4,5,98,12,265,295,0,3,0,3,1,1
3,5,70,17,256,293,0,3,1,2,1,1
6,6,98,23,317,343,0,2,1,2,1,1
3,5,70,12,253,302,0,3,0,2,1,1
1,1,105,21,170,198,0,1,1,5,0,1
8,2,42,11,405,207,1,3,1,3,1,0
3,4,66,18,240,277,0,3,0,2,1,0
5,6,80,22,292,324,0,3,0,4,1,1
9,2,66,19,411,214,1,2,0,2,1,1
1,1,111,14,191,183,0,3,1,2,1,1
5,7,98,15,291,349,0,2,1,3,1,1
9,9,78,19,411,434,0,3,0,3,1,1
9,3,111,7,547,256,0,3,1,5,1,1
8,6,90,15,373,322,0,2,1,3,1,1
3,6,82,24,252,331,0,2,1,4,1,1
6,7,72,16,311,347,0,3,0,1,1,1
2,5,66,20,221,291,0,2,0,2,1,1
2,1,64,21,210,162,0,3,1,2,1,0
6,7,103,19,332,362,0,1,1,4,1,1
5,6,101,17,296,337,0,3,0,3,1,1
3,1,111,23,252,188,0,2,0,4,1,1
5,5,90,21,299,310,0,3,0,3,1,1
7,8,103,17,359,401,0,3,0,2,1,1
1,2,80,17,171,222,1,3,1,3,1,1
8,6,74,18,396,336,1,2,1,2,1,1
2,0,66,12,227,156,0,1,0,2,0,1
3,7,66,16,240,359,0,3,1,2,1,1
0,2,103,18,164,234,0,3,0,2,1,1
7,7,101,25,340,368,0,1,0,5,1,1
4,2,82,14,265,229,0,3,1,2,1,1
8,9,70,16,396,462,0,2,1,2,1,1
8,6,30,13,377,340,0,2,1,0,0,1
2,2,30,16,233,215,0,4,1,2,0,1
9,9,98,18,492,476,0,2,1,2,1,1
1,0,82,15,183,160,0,2,1,2,1,0
8,8,86,18,381,389,0,2,0,2,1,1
1,0,58,14,191,149,0,3,1,5,1,0
0,0,46,11,154,120,1,0,0,3,0,0
0,0,30,11,135,115,0,2,0,3,0,1
6,8,90,12,312,386,0,2,1,4,1,1
9,9,109,16,500,506,0,3,0,1,1,0
2,0,98,11,233,156,0,3,0,2,1,0
2,3,98,21,232,252,0,3,1,3,1,1
6,6,98,21,317,322,0,2,1,3,1,1
9,9,90,11,452,486,1,3,1,2,1,1
2,2,96,21,208,241,0,3,0,5,1,1
1,4,72,17,194,275,0,2,0,4,1,1
